Classifier type,<0>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,mean
DecisionTreeClassifier 1,0.92,0.9295282469423413,0.933679354094579,0.9189034837235865,0.9298642533936652,0.9165266106442577,0.9278579356270811,0.9213853765805388,0.9286492374727668,0.9336211548839719,0.9411764705882353,0.9321674615792263,0.9296218487394958,0.9172306090577824,0.9055727554179567,0.9166240409207161,0.9259634888438134,0.9270990447461036,0.9252243270189432,0.921403855659911,0.9279411764705883,0.9431210500729217,0.929122468659595,0.9005260640841702,0.9198292220113852,0.9336470588235294,0.9206349206349206,0.9407132931912923,0.9356617647058824,0.9420884632922937,0.9402714932126697,0.9443197126178716,0.9322638146167558,0.9332153914197258,0.9297629499561019,0.9324618736383442,0.9303633217993079,0.9291541434091884,0.8913043478260869,0.8963182395260262,0.8886554621848739,0.8848560700876095,0.9299917149958575,0.8897573015220074,0.8876633986928104,0.886815415821501,0.8851732473811442,0.881952781112445,0.8819554848966613,0.9206474536123174,0.9196078431372549,0.8784573432021815,0.9125386996904025,0.908881199538639,0.9117647058823529,0.8827324478178368,0.8996983408748115,0.8527538403896591,0.8782576321667908,0.8261191268960414,0.8338235294117647,0.9006211180124224,0.9052287581699346,0.8513172140021653,0.8472022955523673,0.8848484848484849,0.8508150248051027,0.8594575554772808,0.8494397759103641,0.8430212321615037,0.9069839260594031
DecisionTreeClassifier 2,1.0,1.0,0.9994232987312572,0.9988577955454027,0.998868778280543,1.0,1.0,1.0,0.9983660130718954,1.0,1.0,1.0,1.0,1.0,0.999484004127967,1.0,0.9969574036511156,0.9969834087481146,0.9985044865403788,0.9985170538803757,0.9985294117647059,0.9980554205153136,0.9980713596914176,1.0,0.9990512333965844,0.9990588235294118,0.9981325863678805,0.999073645206114,0.9990808823529411,0.9995440036479708,1.0,1.0,0.9986631016042781,0.9986731534719151,1.0,1.0,1.0,0.9952769428939459,0.9995737425404945,0.9995768091409225,0.9995798319327731,0.999165623696287,0.9987572493786246,0.9979432332373509,0.9995915032679739,0.9995943204868154,0.9987912973408541,0.9987995198079231,1.0,1.0,1.0,0.9953252824308532,1.0,1.0,1.0,0.9992409867172676,1.0,0.997002622705133,0.9992553983618764,0.9992600813910469,0.993014705882353,1.0,1.0,0.9931432695777698,1.0,0.9932263814616756,0.9932671863926293,0.9996477632969355,0.9814425770308123,0.9989557953358859,0.9985903998347685
DecisionTreeClassifier 3,0.8323529411764706,0.8124635993011066,0.8137254901960784,0.7966876070816676,0.7997737556561086,0.8156862745098039,0.7863485016648168,0.8581638262781748,0.8001089324618736,0.8650836481381543,0.8390374331550802,0.7774244833068362,0.8004201680672269,0.7928162415408642,0.8095975232198143,0.8271099744245525,0.8245436105476673,0.836098541980895,0.7831505483549352,0.7874443895205141,0.8088235294117647,0.7744287797763734,0.7463837994214079,0.8589191774270684,0.7855787476280834,0.7807058823529411,0.8632119514472456,0.7545159796201946,0.7863051470588235,0.7268581851345189,0.7986425339366516,0.740907049842838,0.820855614973262,0.7598407784166298,0.7699736611062336,0.7969498910675381,0.8057958477508651,0.802490339201374,0.6901108269394715,0.705459162082099,0.7352941176470589,0.7313308302044222,0.7054681027340514,0.8074866310160428,0.7724673202614379,0.7663286004056795,0.7074939564867043,0.7863145258103241,0.7293322734499205,0.7220686932491117,0.7282352941176471,0.7460070120763537,0.7240712074303406,0.707035755478662,0.7223071046600459,0.6478178368121442,0.6904223227752639,0.7122517796927689,0.7520476545048399,0.7343692193858675,0.7345588235294118,0.7186700767263428,0.7022512708787219,0.7289787080476362,0.7883787661406025,0.7985739750445633,0.7834868887313962,0.7083480098626277,0.7689075630252101,0.7796728158719108,0.7710681644462161
DecisionTreeClassifier 4,0.9129411764705883,0.8980780430984275,0.9002306805074971,0.9120502569960023,0.8981900452488688,0.9103641456582633,0.9317425083240843,0.9285321605277626,0.923202614379085,0.9217485159201295,0.9245989304812834,0.9242183359830418,0.9122899159663865,0.9135866736074961,0.9035087719298246,0.9069053708439898,0.9183569979716024,0.9180492709904474,0.9177467597208375,0.9144834404349975,0.8980392156862745,0.9163830821584832,0.9170684667309547,0.8952654232424677,0.9122390891840607,0.9341176470588235,0.9197012138188608,0.9263547938860583,0.9301470588235294,0.9316005471956225,0.9298642533936652,0.9317467444993265,0.9135472370766489,0.9243697478991597,0.9209833187006146,0.9137254901960784,0.9147923875432526,0.9149849720910261,0.8712702472293266,0.8679644519678374,0.846218487394958,0.8410513141426783,0.8956089478044739,0.8745372274784039,0.8758169934640523,0.8746450304259635,0.9008863819500403,0.907563025210084,0.8863275039745628,0.8981444926964074,0.9019607843137255,0.8776782236073237,0.8773219814241486,0.8858131487889274,0.8747135217723453,0.8724857685009487,0.9030920060331825,0.8340202322967404,0.887192851824274,0.8930817610062893,0.881985294117647,0.8786993058092802,0.8801742919389978,0.8783832551425478,0.819583931133429,0.8106951871657754,0.8621545003543586,0.8150757308911588,0.8095238095238095,0.8002088409328229,0.8945661976366004
DecisionTreeClassifier 5,0.9988235294117647,0.9924286546301689,0.9930795847750865,1.0,0.9932126696832579,0.9938375350140056,0.9983351831298557,0.9983507421660253,0.9945533769063181,0.9962223421478683,0.9983957219251337,0.9984101748807631,0.993172268907563,0.9927121290994274,0.9860681114551083,0.989769820971867,0.9903651115618661,0.9904474610356964,0.9930209371884346,0.9930795847750865,0.9926470588235294,0.9970831307729704,0.9971070395371263,0.9985652797704447,0.9943074003795066,0.9976470588235294,0.9920634920634921,0.9967577582213988,0.9981617647058824,0.9990880072959416,0.997737556561086,0.9982038616973506,0.9955436720142602,0.994250331711632,0.995171202809482,0.9938997821350762,0.995242214532872,0.9939888364104766,0.9833759590792839,0.9843419382141346,0.9882352941176471,0.9670421360033375,0.9780447390223695,0.9864253393665159,0.9938725490196079,0.9939148073022313,0.984689766317486,0.9899959983993597,0.9972178060413355,0.9818397157520726,0.9890196078431372,0.9906505648617062,0.9907120743034056,0.9769319492502884,0.9778456837280367,0.9912713472485768,0.9913273001508296,0.985013113525665,0.9929262844378257,0.9948205697373289,0.9915441176470589,0.9923273657289002,0.9967320261437909,0.9913388668350775,0.9802725968436155,0.9828877005347594,0.9844082211197732,0.9852060584712927,0.9845938375350141,0.9912982944657153,0.9914553430996936
RandomForestClassifier 4,0.6276470588235294,0.6208503203261503,0.6141868512110726,0.6213592233009708,0.6119909502262444,0.6252100840336134,0.6315205327413984,0.6311159978009896,0.6345315904139434,0.631948192120885,0.6347593582887701,0.6369899311075782,0.6355042016806722,0.6283185840707964,0.6331269349845201,0.6240409207161125,0.6272819472616633,0.6078431372549019,0.6096709870388833,0.6124567474048442,0.621078431372549,0.6198347107438017,0.6152362584378014,0.615973218555715,0.611954459203036,0.6112941176470589,0.6050420168067226,0.6164891153311718,0.6135110294117647,0.6041951664386684,0.6004524886877828,0.6012572968118545,0.6002673796791443,0.6147722246793454,0.6136962247585601,0.5943355119825708,0.5938581314878892,0.5916702447402319,0.592924126172208,0.6115107913669064,0.6063025210084033,0.5949103045473508,0.5940347970173985,0.6001645413410119,0.6004901960784313,0.5935091277890466,0.5922643029814666,0.5930372148859544,0.5878378378378378,0.5945519147256217,0.5976470588235294,0.596805609661083,0.5870743034055728,0.5978469819300269,0.5897631779984721,0.5901328273244781,0.6029411764705882,0.6039715249156987,0.5994043186895012,0.5956344802071772,0.5970588235294118,0.5831202046035806,0.5820624546114742,0.588957055214724,0.5846484935437589,0.5832442067736185,0.5843373493975904,0.5861218738992603,0.5833333333333334,0.5795335885833623,0.6060064013750156
RandomForestClassifier 5,0.5488235294117647,0.5270821199767035,0.5288350634371396,0.5316961736150772,0.5192307692307693,0.5428571428571428,0.5577136514983352,0.5415063221550303,0.5430283224400871,0.5472207231516459,0.5631016042780749,0.5506094329623742,0.5593487394957983,0.5523165018219677,0.567079463364293,0.5483375959079284,0.5679513184584178,0.5575666163901458,0.5603190428713859,0.5516559565002471,0.5632352941176471,0.5556635877491493,0.5424300867888139,0.5518890483022477,0.5384250474383302,0.5581176470588235,0.5443510737628384,0.5585919407132932,0.5556066176470589,0.5389876880984952,0.5411764705882353,0.5383924562191289,0.5311942959001783,0.5532950022114109,0.5364354697102721,0.5281045751633987,0.5553633217993079,0.5328467153284672,0.5383631713554987,0.5531104528142192,0.5436974789915966,0.5469336670838548,0.5389395194697597,0.5475113122171946,0.551062091503268,0.5419878296146045,0.5273972602739726,0.531812725090036,0.5286168521462639,0.5294117647058824,0.5458823529411765,0.5383716400467472,0.5414086687306502,0.540561322568243,0.5320855614973262,0.5335863377609108,0.5339366515837104,0.560134881978269,0.5487714072970961,0.5334813170551239,0.5448529411764705,0.5407380343441724,0.5337690631808278,0.5326596896427283,0.5355093256814921,0.5176470588235295,0.5290574060949681,0.5336386051426558,0.521358543417367,0.5019143752175427,0.54240851054098
GradientBoostingClassifier 1,0.9394117647058824,0.9341875364006988,0.9388696655132641,0.9354654483152485,0.9326923076923077,0.9411764705882353,0.935072142064373,0.9334799340296867,0.9340958605664488,0.9336211548839719,0.9363636363636364,0.9401165871754107,0.9327731092436975,0.9349297241020302,0.93343653250774,0.9345268542199489,0.9300202839756593,0.930115635997989,0.9312063808574277,0.9362333168561542,0.9343137254901961,0.932912007778318,0.9329797492767599,0.9282639885222381,0.9297912713472486,0.9317647058823529,0.9299719887955182,0.9319129226493748,0.9301470588235294,0.9316005471956225,0.9334841628959276,0.9357880556802873,0.9313725490196079,0.9252543122512162,0.9253731343283582,0.9281045751633987,0.9320934256055363,0.9231429798196651,0.9262574595055414,0.9217096910706729,0.9105042016806723,0.9211514392991239,0.9179784589892295,0.9193747429041547,0.9142156862745098,0.9188640973630832,0.9125705076551168,0.907563025210084,0.9093799682034976,0.9072246348203711,0.9145098039215687,0.9084534476042072,0.9109907120743034,0.9065743944636678,0.9079449961802903,0.9104364326375711,0.9095022624434389,0.9067066316972648,0.8983618763961281,0.9056603773584906,0.9036764705882353,0.9017172086225794,0.8986928104575164,0.8978708047636232,0.8999282639885222,0.899108734402852,0.8968816442239547,0.8989080662205001,0.8995098039215687,0.8931430560389837,0.9214491031080899
GradientBoostingClassifier 2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoostingClassifier 3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
