Classifier type,<0>,<90>,<90>,<90>,<90>,mean
DecisionTreeClassifier 1,0.8994117647058824,0.9056493884682586,0.8800461361014994,0.8520845231296402,0.8054298642533937,0.8685243353317349
DecisionTreeClassifier 2,0.9994117647058823,0.9988351776354106,1.0,0.9902912621359223,0.9932126696832579,0.9963501748320948
DecisionTreeClassifier 3,0.7964705882352942,0.8683750728013978,0.8391003460207612,0.8280982295830954,0.8438914027149321,0.8351871278710961
DecisionTreeClassifier 4,0.9358823529411765,0.8648806057076296,0.8662053056516724,0.8920616790405482,0.8636877828054299,0.8845435452292915
DecisionTreeClassifier 5,0.9970588235294118,0.9976703552708212,0.9844290657439446,0.9937178754997145,0.9751131221719457,0.9895978484431674
RandomForestClassifier 4,0.5994117647058823,0.6179382644146768,0.6274509803921569,0.6259280411193604,0.6385746606334841,0.621860742253112
RandomForestClassifier 5,0.5305882352941177,0.5381479324403029,0.5230680507497116,0.5316961736150772,0.5254524886877828,0.5297905761573983
GradientBoostingClassifier 1,0.9794117647058823,0.9737914967967385,0.9694348327566321,0.9674471730439749,0.9717194570135747,0.9723609448633604
GradientBoostingClassifier 2,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoostingClassifier 3,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier 1,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier 2,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier 3,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier 4,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier 5,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier 6,1.0,1.0,1.0,1.0,1.0,1.0
XGBRFClassifier 1,0.9952941176470588,0.9947582993593477,0.9953863898500577,0.9925756710451171,0.994343891402715,0.9944716738608592
XGBRFClassifier 2,0.9976470588235294,0.9970879440885265,0.9976931949250288,0.9971444888635066,0.998868778280543,0.9976882929962269
XGBRFClassifier 3,0.6911764705882353,0.7041351193942924,0.723760092272203,0.7058823529411765,0.708710407239819,0.7067328884871453
XGBRFClassifier 4,0.9023529411764706,0.9062317996505533,0.9042675893886967,0.903483723586522,0.8993212669683258,0.9031314641541137
XGBRFClassifier 5,0.99,0.988351776354106,0.9867358708189158,0.9868646487721302,0.9898190045248869,0.9883542600940076
XGBRFClassifier 6,0.9894117647058823,0.9877693651718114,0.986159169550173,0.9851513420902341,0.9909502262443439,0.987888373552489
GradientBoostingClassifier 1S,0.9405882352941176,0.9435061153174141,0.9377162629757786,0.9474585950885208,0.9445701357466063,0.9427678688844875
GradientBoostingClassifier 2S,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoostingClassifier 3S,1.0,1.0,1.0,1.0,1.0,1.0
