,0_x,0_y,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,11_x,12_x,13_x,14_x,15_x,16_x,17_x,18_x,19_x,20_x,21_x,22_x,23_x,24_x,25_x,26_x,27_x,28_x,29_x,30_x,31_x,32_x,33_x,34_x,35_x,36_x,37_x,38_x,39_x,40_x,41_x,42_x,43_x,44_x,45_x,46_x,47_x,48_x,49_x,50_x,51_x,52_x,53_x,54_x,55_x,56_x,57_x,58_x,59_x,60_x,61_x,62_x,63_x,64_x,65_x,66_x,67_x,68_x,69_x,0,1,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y,11_y,12_y,13_y,14_y,15_y,16_y,17_y,18_y,19_y,20_y,21_y,22_y,23_y,24_y,25_y,26_y,27_y,28_y,29_y,30_y,31_y,32_y,33_y,34_y,35_y,36_y,37_y,38_y,39_y,40_y,41_y,42_y,43_y,44_y,45_y,46_y,47_y,48_y,49_y,50_y,51_y,52_y,53_y,54_y,55_y,56_y,57_y,58_y,59_y,60_y,61_y,62_y,63_y,64_y,65_y,66_y,67_y,68_y,69_y
0,DecisionTreeClassifier 1,4,1,5,3,4,0,2,8,2,0,1,1,0,0,1,2,0,3,0,1,5,6,1,0,3,9,0,1,3,0,0,0,0,0,5,4,6,10,1,0,0,0,0,1,4,0,0,9,0,1,0,12,0,0,6,2,0,0,5,4,2,11,0,0,11,1,0,1,2,518,525,539,539,537,539,576,562,567,576,581,587,590,586,562,583,602,606,616,617,625,633,636,626,626,650,651,673,673,687,687,715,689,707,709,695,700,702,701,733,733,725,742,724,721,721,729,748,732,779,786,703,767,774,785,774,800,751,801,727,751,804,808,815,795,837,828,815,796,782
1,DecisionTreeClassifier 2,4,2,4,3,4,0,2,6,1,1,0,1,0,0,0,1,0,3,0,1,7,8,2,5,3,2,0,1,3,0,0,0,0,0,6,4,6,10,1,0,0,0,0,1,1,0,1,3,0,1,2,12,0,0,3,2,0,0,5,4,2,11,0,0,11,1,0,1,3,577,578,581,593,587,601,615,613,607,628,635,639,650,655,661,656,670,672,682,684,684,678,692,704,705,719,711,730,739,742,742,760,753,771,772,765,780,767,778,793,801,814,806,821,830,832,830,836,840,854,861,869,856,879,879,869,899,892,902,908,908,912,918,931,938,934,946,958,944,956
2,DecisionTreeClassifier 3,5,2,4,3,11,1,0,3,0,2,2,1,0,1,4,2,6,3,3,5,6,4,0,1,0,10,3,0,5,2,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,2,0,3,0,0,2,0,1,2,0,0,0,3,5,4,9,0,1,5,1,0,0,1,484,466,483,518,477,480,458,511,480,543,569,556,566,533,515,560,551,577,528,537,561,565,552,631,586,536,624,565,561,549,599,619,629,519,615,633,627,655,530,527,583,630,610,716,696,685,572,635,597,593,648,668,612,710,704,648,636,596,723,660,698,628,707,721,725,769,750,687,716,764
3,DecisionTreeClassifier 4,3,4,0,4,6,1,3,4,2,0,0,1,0,0,0,2,0,3,0,0,7,3,2,4,4,0,1,1,3,0,0,0,0,0,2,3,0,10,0,0,0,0,0,0,8,0,1,5,0,2,0,6,0,9,1,0,0,0,5,4,2,11,0,1,12,1,0,0,7,531,521,516,535,526,527,563,573,534,564,589,593,579,607,570,574,594,592,616,605,609,617,632,653,622,674,673,662,682,667,690,699,664,700,707,683,700,727,722,723,720,744,724,755,758,762,744,750,738,753,789,706,710,787,730,754,814,733,795,833,777,763,772,839,806,782,863,808,793,768
4,DecisionTreeClassifier 5,3,4,0,6,5,1,2,7,1,0,0,1,0,0,0,2,0,3,0,2,7,5,2,0,3,0,1,1,3,0,0,0,0,0,2,4,0,11,0,0,0,0,0,0,8,0,1,8,0,2,4,8,0,9,6,0,0,0,5,0,2,11,0,1,9,1,0,0,5,577,576,579,594,584,596,613,613,603,624,635,639,649,648,644,644,658,660,671,673,673,679,693,704,697,717,704,726,738,741,738,758,752,761,762,755,770,771,770,782,790,794,783,815,824,826,810,826,835,835,849,859,848,855,858,865,890,887,895,904,906,904,917,931,918,930,934,939,940,954
5,RandomForestClassifier 4,5,8,4,5,11,0,2,1,1,3,2,1,0,1,6,2,6,3,3,9,5,7,1,0,0,1,0,0,0,0,0,0,0,0,7,3,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,2,4,0,5,0,0,0,1,0,0,2,373,359,363,400,358,407,436,424,403,437,445,451,466,459,445,419,454,438,455,454,453,426,449,461,442,468,435,494,511,504,475,509,485,508,488,465,488,464,452,495,500,512,485,517,524,512,499,492,483,500,512,541,478,539,530,497,602,581,574,570,579,544,548,600,595,580,610,617,589,583
6,RandomForestClassifier 5,5,8,4,2,5,0,3,0,2,4,2,1,0,1,2,2,6,3,3,2,4,2,1,0,0,0,0,0,6,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,4,2,3,0,0,1,1,0,0,0,283,233,250,284,235,309,359,305,273,348,357,362,383,377,388,329,408,375,393,359,362,304,330,388,337,397,336,403,433,440,398,445,366,448,397,345,417,341,344,416,408,452,402,457,470,438,397,398,387,411,450,474,376,457,451,421,568,529,505,472,494,455,444,529,505,428,506,540,473,413
7,GradientBoostingClassifier 1,4,3,4,9,11,0,3,4,2,4,2,0,0,1,2,1,6,3,3,4,10,12,3,8,2,10,2,3,6,0,0,0,0,0,1,3,9,15,1,0,0,1,4,0,5,0,1,7,2,2,4,12,0,5,9,2,0,1,3,5,5,10,2,0,3,1,0,2,12,543,543,545,557,550,568,584,577,574,591,598,603,619,616,625,615,635,630,638,649,640,628,649,657,662,672,660,684,694,694,697,714,707,720,718,713,733,721,727,742,735,762,752,763,766,760,763,772,768,785,800,798,786,810,807,801,819,811,819,832,835,818,831,846,857,848,861,870,865,868
8,GradientBoostingClassifier 2,4,3,3,10,11,0,3,4,1,4,2,0,0,1,4,2,6,3,3,9,13,11,4,8,4,10,1,3,3,0,0,0,0,0,2,5,7,10,0,0,0,5,0,0,7,0,2,8,3,2,4,12,0,2,14,2,0,0,5,5,6,11,0,0,5,1,0,0,8,577,578,581,594,587,601,615,613,608,628,635,639,650,655,661,656,672,674,684,686,686,680,694,704,705,719,712,730,739,742,742,760,755,772,772,765,780,775,779,794,802,815,807,824,830,832,832,838,840,854,861,871,856,879,879,869,899,895,902,908,913,912,918,936,938,939,951,958,952,959
9,GradientBoostingClassifier 3,5,5,5,14,11,1,3,5,1,4,2,0,0,1,2,1,6,3,3,6,12,10,5,8,0,10,3,3,6,0,0,0,0,0,1,4,7,15,0,0,0,6,0,0,8,0,4,7,2,2,4,12,0,1,9,2,0,0,3,5,6,11,1,0,8,1,0,3,12,577,578,581,594,587,601,615,613,608,628,635,639,650,655,661,656,672,674,684,686,686,680,694,704,705,719,712,730,739,742,742,760,755,772,772,765,780,775,779,794,802,815,807,824,830,832,832,838,840,854,861,871,856,879,879,869,899,895,902,908,913,912,918,936,938,939,951,958,952,959
