,0_x,0_y,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,11_x,12_x,13_x,14_x,15_x,16_x,17_x,18_x,19_x,20_x,21_x,22_x,23_x,24_x,25_x,26_x,27_x,28_x,29_x,30_x,31_x,32_x,33_x,34_x,35_x,36_x,37_x,38_x,39_x,40_x,41_x,42_x,43_x,44_x,45_x,46_x,47_x,48_x,49_x,50_x,51_x,52_x,53_x,54_x,55_x,56_x,57_x,58_x,59_x,60_x,61_x,62_x,63_x,64_x,65_x,66_x,67_x,68_x,69_x,0,1,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y,11_y,12_y,13_y,14_y,15_y,16_y,17_y,18_y,19_y,20_y,21_y,22_y,23_y,24_y,25_y,26_y,27_y,28_y,29_y,30_y,31_y,32_y,33_y,34_y,35_y,36_y,37_y,38_y,39_y,40_y,41_y,42_y,43_y,44_y,45_y,46_y,47_y,48_y,49_y,50_y,51_y,52_y,53_y,54_y,55_y,56_y,57_y,58_y,59_y,60_y,61_y,62_y,63_y,64_y,65_y,66_y,67_y,68_y,69_y
0,DecisionTreeClassifier 1,5,9,5,17,11,1,3,8,3,4,2,1,0,1,10,2,6,3,3,9,14,14,7,8,4,13,3,3,6,2,0,1,0,0,7,7,9,15,3,1,0,9,6,2,8,6,6,10,7,2,4,12,0,9,16,2,1,6,5,5,6,11,2,1,12,1,0,7,12,577,578,581,594,587,601,615,613,608,628,635,639,650,655,661,656,672,674,684,686,686,680,694,704,705,719,712,730,739,742,742,760,755,772,772,765,780,775,779,794,802,815,807,824,830,832,832,838,840,854,861,871,856,879,879,869,899,895,902,908,913,912,918,936,938,939,951,958,952,959
1,DecisionTreeClassifier 2,5,9,5,17,11,1,3,8,3,4,2,1,0,1,10,2,6,3,3,9,14,14,7,8,4,13,3,3,6,2,0,1,0,0,7,7,9,15,3,1,0,9,6,2,8,6,6,10,7,2,4,12,0,9,16,2,1,6,5,5,6,11,2,1,12,1,0,7,12,577,578,581,594,587,601,615,613,608,628,635,639,650,655,661,656,672,674,684,686,686,680,694,704,705,719,712,730,739,742,742,760,755,772,772,765,780,775,779,794,802,815,807,824,830,832,832,838,840,854,861,871,856,879,879,869,899,895,902,908,913,912,918,936,938,939,951,958,952,959
2,DecisionTreeClassifier 3,5,9,5,17,11,1,3,8,3,4,2,1,0,1,10,2,6,3,3,9,14,14,7,8,4,13,3,3,6,2,0,1,0,0,7,7,9,15,3,1,0,9,6,2,8,6,6,10,7,2,4,12,0,9,16,2,1,6,5,5,6,11,2,1,12,1,0,7,12,577,578,581,594,587,601,615,613,608,628,635,639,650,655,661,656,672,674,684,686,686,680,694,704,705,719,712,730,739,742,742,760,755,772,772,765,780,775,779,794,802,815,807,824,830,832,832,838,840,854,861,871,856,879,879,869,899,895,902,908,913,912,918,936,938,939,951,958,952,959
3,DecisionTreeClassifier 4,5,9,5,17,11,1,3,8,3,4,2,1,0,1,10,2,6,3,3,9,14,14,7,8,4,13,3,3,6,2,0,1,0,0,7,7,9,15,3,1,0,9,6,2,8,6,6,10,7,2,4,12,0,9,16,2,1,6,5,5,6,11,2,1,12,1,0,7,12,577,578,581,594,587,601,615,613,608,628,635,639,650,655,661,656,672,674,684,686,686,680,694,704,705,719,712,730,739,742,742,760,755,772,772,765,780,775,779,794,802,815,807,824,830,832,832,838,840,854,861,871,856,879,879,869,899,895,902,908,913,912,918,936,938,939,951,958,952,959
4,DecisionTreeClassifier 5,5,9,5,17,11,1,3,8,3,4,2,1,0,1,10,2,6,3,3,9,14,14,7,8,4,13,3,3,6,2,0,1,0,0,7,7,9,15,3,1,0,9,6,2,8,6,6,10,7,2,4,12,0,9,16,2,1,6,5,5,6,11,2,1,12,1,0,7,12,577,578,581,594,587,601,615,613,608,628,635,639,650,655,661,656,672,674,684,686,686,680,694,704,705,719,712,730,739,742,742,760,755,772,772,765,780,775,779,794,802,815,807,824,830,832,832,838,840,854,861,871,856,879,879,869,899,895,902,908,913,912,918,936,938,939,951,958,952,959
5,RandomForestClassifier 4,5,9,5,17,11,1,3,8,3,4,2,1,0,1,10,2,6,3,3,9,14,14,7,8,4,13,3,3,6,2,0,1,0,0,7,7,9,15,3,1,0,9,6,2,8,6,6,10,7,2,4,12,0,9,16,2,1,6,5,5,6,11,2,1,12,1,0,7,12,577,578,581,594,587,601,615,613,608,628,635,639,650,655,661,656,672,674,684,686,686,680,694,704,705,719,712,730,739,742,742,760,755,772,772,765,780,775,779,794,802,815,807,824,830,832,832,838,840,854,861,871,856,879,879,869,899,895,902,908,913,912,918,936,938,939,951,958,952,959
6,RandomForestClassifier 5,5,9,5,17,11,1,3,8,3,4,2,1,0,1,10,2,6,3,3,9,14,14,7,8,4,13,3,3,6,2,0,1,0,0,7,7,9,15,3,1,0,9,6,2,8,6,6,10,7,2,4,12,0,9,16,2,1,6,5,5,6,11,2,1,12,1,0,7,12,577,578,581,594,587,601,615,613,608,628,635,639,650,655,661,656,672,674,684,686,686,680,694,704,705,719,712,730,739,742,742,760,755,772,772,765,780,775,779,794,802,815,807,824,830,832,832,838,840,854,861,871,856,879,879,869,899,895,902,908,913,912,918,936,938,939,951,958,952,959
7,GradientBoostingClassifier 1,5,9,5,17,11,1,3,8,3,4,2,1,0,1,10,2,6,3,3,9,14,14,7,8,4,13,3,3,6,2,0,1,0,0,7,7,9,15,3,1,0,9,6,2,8,6,6,10,7,2,4,12,0,9,16,2,1,6,5,5,6,11,2,1,12,1,0,7,12,577,578,581,594,587,601,615,613,608,628,635,639,650,655,661,656,672,674,684,686,686,680,694,704,705,719,712,730,739,742,742,760,755,772,772,765,780,775,779,794,802,815,807,824,830,832,832,838,840,854,861,871,856,879,879,869,899,895,902,908,913,912,918,936,938,939,951,958,952,959
8,GradientBoostingClassifier 2,5,9,5,17,11,1,3,8,3,4,2,1,0,1,10,2,6,3,3,9,14,14,7,8,4,13,3,3,6,2,0,1,0,0,7,7,9,15,3,1,0,9,6,2,8,6,6,10,7,2,4,12,0,9,16,2,1,6,5,5,6,11,2,1,12,1,0,7,12,577,578,581,594,587,601,615,613,608,628,635,639,650,655,661,656,672,674,684,686,686,680,694,704,705,719,712,730,739,742,742,760,755,772,772,765,780,775,779,794,802,815,807,824,830,832,832,838,840,854,861,871,856,879,879,869,899,895,902,908,913,912,918,936,938,939,951,958,952,959
9,GradientBoostingClassifier 3,5,9,5,17,11,1,3,8,3,4,2,1,0,1,10,2,6,3,3,9,14,14,7,8,4,13,3,3,6,2,0,1,0,0,7,7,9,15,3,1,0,9,6,2,8,6,6,10,7,2,4,12,0,9,16,2,1,6,5,5,6,11,2,1,12,1,0,7,12,577,578,581,594,587,601,615,613,608,628,635,639,650,655,661,656,672,674,684,686,686,680,694,704,705,719,712,730,739,742,742,760,755,772,772,765,780,775,779,794,802,815,807,824,830,832,832,838,840,854,861,871,856,879,879,869,899,895,902,908,913,912,918,936,938,939,951,958,952,959
