Classifier type,<0>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,mean
DecisionTreeClassifier 1,0.9511764705882353,0.9912638322655795,0.9838523644752019,0.9680182752712736,0.8857466063348416,0.8901960784313725,0.9411764705882353,0.8938977460142936,0.8954248366013072,0.8942255801403131,0.9267379679144385,0.8892421833598304,0.8492647058823529,0.8433107756376887,0.8436532507739938,0.7841432225063939,0.8453346855983773,0.7787833081950729,0.730309072781655,0.7874443895205141,0.8151960784313725,0.8099173553719008,0.7208293153326905,0.7226207556193209,0.7011385199240987,0.9068235294117647,0.7156862745098039,0.8494673459935155,0.7426470588235294,0.746922024623803,0.7959276018099547,0.8419476671849264
DecisionTreeClassifier 2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier 3,0.7747058823529411,0.8171228887594641,0.773356401384083,0.7926898914905768,0.709841628959276,0.7176470588235294,0.6892341842397336,0.6811434854315558,0.6840958605664488,0.7587695628710199,0.7310160427807486,0.7657657657657657,0.6612394957983193,0.6579906298802707,0.6573787409700722,0.611764705882353,0.6333671399594321,0.6168929110105581,0.6375872382851445,0.6401384083044983,0.6598039215686274,0.659212445308702,0.6080038572806171,0.62649450023912,0.5858633776091081,0.6564705882352941,0.5854341736694678,0.666512274201019,0.6227022058823529,0.6461468308253534,0.6411764705882353,0.6764376957717319
RandomForestClassifier 1,0.558235294117647,0.5544554455445545,0.5322952710495963,0.5345516847515706,0.5378959276018099,0.5350140056022409,0.5360710321864595,0.5376580538757559,0.5315904139433552,0.5315704263356719,0.5262032085561498,0.5384207737148914,0.5178571428571429,0.53461738677772,0.5402476780185759,0.5263427109974425,0.5177484787018256,0.5077928607340372,0.49252243270189433,0.48838358872960946,0.4965686274509804,0.5157997083130773,0.5028929604628737,0.5169775227164036,0.5033206831119544,0.4823529411764706,0.5009337068160598,0.47336729967577584,0.4728860294117647,0.47651618787049704,0.4850678733031674,0.5163276566808702
RandomForestClassifier 2,0.5605882352941176,0.5521258008153757,0.5363321799307958,0.5431182181610509,0.5311085972850679,0.5277310924369748,0.5338512763596004,0.5590984057174272,0.5452069716775599,0.5283324338909876,0.5245989304812835,0.5416004239533652,0.5304621848739496,0.5434669442998439,0.5299277605779154,0.5273657289002558,0.5182555780933062,0.5093011563599799,0.48753738783649053,0.4898665348492338,0.5014705882352941,0.512396694214876,0.4990356798457088,0.5102821616451458,0.4971537001897533,0.4832941176470588,0.496265172735761,0.4701250578971746,0.46875,0.48107615139078885,0.48778280542986424,0.5170163861621293
RandomForestClassifier 3,1.0,0.9994175888177053,1.0,1.0,0.9994343891402715,0.9988795518207283,0.9988901220865705,0.9983507421660253,0.9994553376906318,0.9989206691851052,0.9994652406417113,0.9994700582935877,0.9984243697478992,0.9963560645497137,0.9989680082559339,0.9994884910485934,0.9989858012170385,0.9979889391654098,0.9990029910269193,0.9995056846267919,0.9995098039215686,0.9990277102576568,0.9995178399228544,0.9985652797704447,0.9995256166982922,0.9981176470588236,0.9971988795518207,0.9981472904122278,0.9977022058823529,0.9972640218878249,0.997737556561086,0.9988167064969546
GradientBoostingClassifier 1,0.9605882352941176,0.9563191613278975,0.9561707035755479,0.9588806396344945,0.9609728506787331,0.9624649859943978,0.9622641509433962,0.9615173172072567,0.9635076252723311,0.960604425256341,0.9582887700534759,0.954954954954955,0.9611344537815126,0.9619989588755856,0.9592363261093911,0.9554987212276215,0.9639959432048681,0.9643036701860231,0.9586241276171485,0.9594661393969353,0.9568627450980393,0.9620807000486145,0.9556412729026037,0.9598278335724534,0.9625237191650854,0.9623529411764706,0.9631185807656396,0.9675775822139879,0.9563419117647058,0.9607843137254902,0.9669683257918552,0.9604797447360314
GradientBoostingClassifier 2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBRFClassifier 1,0.528235294117647,0.5393127548048923,0.5415224913494809,0.5476870359794404,0.5248868778280543,0.507563025210084,0.49889012208657046,0.5299615173172073,0.5119825708061002,0.533189422558014,0.5406417112299465,0.534181240063593,0.5141806722689075,0.5257678292555961,0.5309597523219814,0.5335038363171356,0.5167342799188641,0.49019607843137253,0.4965104685942173,0.5145823035096392,0.5147058823529411,0.5192027224112785,0.5043394406943105,0.5112386417981827,0.4905123339658444,0.4898823529411765,0.4803921568627451,0.4937471051412691,0.4788602941176471,0.48153214774281805,0.47149321266968325,0.5127869540215046
XGBRFClassifier 2,0.8652941176470588,0.8613861386138614,0.8448673587081892,0.8492290119931468,0.8410633484162896,0.8302521008403362,0.8407325194228635,0.8361737218251787,0.8338779956427015,0.8327037236913114,0.8219251336898395,0.8314785373608903,0.8387605042016807,0.8339406559083811,0.8312693498452013,0.8271099744245525,0.8509127789046653,0.8431372549019608,0.8300099700897308,0.8304498269896193,0.8107843137254902,0.8055420515313564,0.7859209257473481,0.7685318029650885,0.7732447817836812,0.7712941176470588,0.7796451914098973,0.7725798981009727,0.7665441176470589,0.7523939808481532,0.7665158371040725,0.8170184206976657
