,0_x,0_y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,DecisionTreeClassifier 1,"(0, 8, 7, 1, 8, 8, 17)","(5, 2, 4, 8, 4, 5, 17)","(1, 8, 0, 1, 13, 3, 17)","(5, 5, 0, 5, 8, 4, 17)","(13, 0, 0, 17, 0, 0, 17)","(0, 5, 0, 3, 13, 1, 17)","(0, 5, 0, 0, 10, 7, 17)","(0, 15, 0, 0, 17, 0, 17)","(15, 0, 0, 15, 2, 0, 17)","(10, 0, 2, 15, 0, 2, 17)","(0, 2, 0, 8, 2, 7, 17)","(0, 8, 1, 0, 10, 7, 17)","(0, 7, 0, 5, 7, 5, 17)","(2, 0, 1, 6, 10, 1, 17)","(0, 1, 0, 11, 1, 5, 17)","(4, 4, 0, 4, 4, 9, 17)","(0, 2, 3, 0, 14, 3, 17)","(3, 7, 0, 9, 8, 0, 17)","(10, 4, 0, 11, 4, 2, 17)","(0, 11, 0, 0, 17, 0, 17)","(0, 7, 0, 0, 17, 0, 17)","(1, 3, 0, 1, 12, 4, 17)","(2, 5, 1, 5, 10, 2, 17)","(0, 10, 0, 2, 13, 2, 17)","(4, 9, 0, 4, 12, 1, 17)","(2, 0, 0, 17, 0, 0, 17)","(8, 0, 0, 8, 8, 1, 17)","(0, 6, 0, 9, 6, 2, 17)","(0, 13, 0, 0, 13, 4, 17)","(0, 13, 0, 0, 17, 0, 17)","(0, 10, 0, 7, 10, 0, 17)"
1,DecisionTreeClassifier 2,"(1, 7, 4, 1, 8, 8, 17)","(5, 2, 2, 8, 4, 5, 17)","(1, 8, 0, 1, 13, 3, 17)","(5, 5, 0, 5, 8, 4, 17)","(12, 0, 0, 17, 0, 0, 17)","(1, 5, 0, 3, 13, 1, 17)","(0, 5, 0, 0, 10, 7, 17)","(0, 15, 0, 0, 17, 0, 17)","(15, 0, 0, 15, 2, 0, 17)","(11, 0, 2, 15, 0, 2, 17)","(0, 2, 0, 8, 2, 7, 17)","(0, 8, 4, 0, 10, 7, 17)","(0, 7, 0, 5, 7, 5, 17)","(2, 0, 1, 6, 10, 1, 17)","(0, 1, 0, 11, 1, 5, 17)","(4, 4, 0, 4, 4, 9, 17)","(0, 2, 3, 0, 14, 3, 17)","(3, 7, 0, 9, 8, 0, 17)","(8, 4, 0, 11, 4, 2, 17)","(0, 11, 0, 0, 17, 0, 17)","(0, 5, 0, 0, 17, 0, 17)","(0, 12, 0, 1, 12, 4, 17)","(2, 7, 0, 5, 10, 2, 17)","(2, 8, 0, 2, 13, 2, 17)","(1, 12, 0, 4, 12, 1, 17)","(2, 0, 0, 17, 0, 0, 17)","(8, 0, 0, 8, 8, 1, 17)","(0, 3, 2, 9, 6, 2, 17)","(0, 13, 0, 0, 13, 4, 17)","(0, 13, 0, 0, 17, 0, 17)","(0, 10, 0, 7, 10, 0, 17)"
2,DecisionTreeClassifier 3,"(1, 0, 0, 1, 8, 8, 17)","(0, 2, 5, 8, 4, 5, 17)","(1, 7, 0, 1, 13, 3, 17)","(0, 5, 4, 5, 8, 4, 17)","(17, 0, 0, 17, 0, 0, 17)","(1, 5, 0, 3, 13, 1, 17)","(0, 4, 0, 0, 10, 7, 17)","(0, 5, 0, 0, 17, 0, 17)","(14, 2, 0, 15, 2, 0, 17)","(11, 0, 2, 15, 0, 2, 17)","(0, 2, 0, 8, 2, 7, 17)","(0, 8, 1, 0, 10, 7, 17)","(0, 7, 0, 5, 7, 5, 17)","(2, 5, 1, 6, 10, 1, 17)","(0, 1, 0, 11, 1, 5, 17)","(4, 4, 2, 4, 4, 9, 17)","(0, 4, 2, 0, 14, 3, 17)","(2, 8, 0, 9, 8, 0, 17)","(11, 4, 0, 11, 4, 2, 17)","(0, 11, 0, 0, 17, 0, 17)","(0, 12, 0, 0, 17, 0, 17)","(1, 4, 0, 1, 12, 4, 17)","(5, 4, 0, 5, 10, 2, 17)","(1, 8, 0, 2, 13, 2, 17)","(0, 12, 0, 4, 12, 1, 17)","(2, 0, 0, 17, 0, 0, 17)","(6, 3, 0, 8, 8, 1, 17)","(0, 6, 0, 9, 6, 2, 17)","(0, 12, 0, 0, 13, 4, 17)","(0, 13, 0, 0, 17, 0, 17)","(0, 10, 0, 7, 10, 0, 17)"
3,RandomForestClassifier 1,"(1, 0, 0, 1, 8, 8, 17)","(8, 2, 0, 8, 4, 5, 17)","(1, 9, 0, 1, 13, 3, 17)","(5, 5, 0, 5, 8, 4, 17)","(17, 0, 0, 17, 0, 0, 17)","(2, 13, 0, 3, 13, 1, 17)","(0, 10, 0, 0, 10, 7, 17)","(0, 9, 0, 0, 17, 0, 17)","(15, 0, 0, 15, 2, 0, 17)","(10, 0, 0, 15, 0, 2, 17)","(0, 2, 0, 8, 2, 7, 17)","(0, 10, 0, 0, 10, 7, 17)","(0, 7, 0, 5, 7, 5, 17)","(3, 10, 0, 6, 10, 1, 17)","(0, 1, 0, 11, 1, 5, 17)","(0, 4, 0, 4, 4, 9, 17)","(0, 14, 0, 0, 14, 3, 17)","(9, 8, 0, 9, 8, 0, 17)","(9, 4, 0, 11, 4, 2, 17)","(0, 14, 0, 0, 17, 0, 17)","(0, 1, 0, 0, 17, 0, 17)","(1, 0, 0, 1, 12, 4, 17)","(5, 0, 0, 5, 10, 2, 17)","(2, 0, 0, 2, 13, 2, 17)","(4, 8, 0, 4, 12, 1, 17)","(4, 0, 0, 17, 0, 0, 17)","(8, 8, 0, 8, 8, 1, 17)","(0, 6, 0, 9, 6, 2, 17)","(0, 13, 0, 0, 13, 4, 17)","(0, 17, 0, 0, 17, 0, 17)","(0, 10, 0, 7, 10, 0, 17)"
4,RandomForestClassifier 2,"(1, 0, 0, 1, 8, 8, 17)","(8, 2, 0, 8, 4, 5, 17)","(1, 9, 0, 1, 13, 3, 17)","(5, 5, 0, 5, 8, 4, 17)","(17, 0, 0, 17, 0, 0, 17)","(2, 13, 0, 3, 13, 1, 17)","(0, 10, 0, 0, 10, 7, 17)","(0, 10, 0, 0, 17, 0, 17)","(15, 0, 0, 15, 2, 0, 17)","(10, 0, 0, 15, 0, 2, 17)","(0, 2, 0, 8, 2, 7, 17)","(0, 10, 0, 0, 10, 7, 17)","(0, 7, 0, 5, 7, 5, 17)","(3, 10, 0, 6, 10, 1, 17)","(0, 1, 0, 11, 1, 5, 17)","(0, 4, 0, 4, 4, 9, 17)","(0, 14, 0, 0, 14, 3, 17)","(9, 8, 0, 9, 8, 0, 17)","(10, 4, 0, 11, 4, 2, 17)","(0, 14, 0, 0, 17, 0, 17)","(0, 1, 0, 0, 17, 0, 17)","(1, 0, 0, 1, 12, 4, 17)","(5, 0, 0, 5, 10, 2, 17)","(2, 0, 0, 2, 13, 2, 17)","(2, 6, 0, 4, 12, 1, 17)","(3, 0, 0, 17, 0, 0, 17)","(8, 8, 0, 8, 8, 1, 17)","(0, 6, 0, 9, 6, 2, 17)","(0, 13, 0, 0, 13, 4, 17)","(0, 17, 0, 0, 17, 0, 17)","(0, 10, 0, 7, 10, 0, 17)"
5,RandomForestClassifier 3,"(0, 1, 7, 1, 8, 8, 17)","(0, 4, 5, 8, 4, 5, 17)","(1, 13, 0, 1, 13, 3, 17)","(4, 4, 0, 5, 8, 4, 17)","(17, 0, 0, 17, 0, 0, 17)","(2, 13, 0, 3, 13, 1, 17)","(0, 10, 0, 0, 10, 7, 17)","(0, 12, 0, 0, 17, 0, 17)","(15, 2, 0, 15, 2, 0, 17)","(10, 0, 0, 15, 0, 2, 17)","(0, 2, 0, 8, 2, 7, 17)","(0, 10, 2, 0, 10, 7, 17)","(0, 7, 0, 5, 7, 5, 17)","(3, 10, 0, 6, 10, 1, 17)","(0, 1, 0, 11, 1, 5, 17)","(0, 4, 1, 4, 4, 9, 17)","(0, 8, 3, 0, 14, 3, 17)","(9, 8, 0, 9, 8, 0, 17)","(8, 4, 0, 11, 4, 2, 17)","(0, 15, 0, 0, 17, 0, 17)","(0, 2, 0, 0, 17, 0, 17)","(1, 3, 0, 1, 12, 4, 17)","(5, 8, 0, 5, 10, 2, 17)","(2, 5, 0, 2, 13, 2, 17)","(4, 10, 0, 4, 12, 1, 17)","(6, 0, 0, 17, 0, 0, 17)","(8, 3, 0, 8, 8, 1, 17)","(0, 6, 0, 9, 6, 2, 17)","(0, 12, 1, 0, 13, 4, 17)","(0, 17, 0, 0, 17, 0, 17)","(2, 10, 0, 7, 10, 0, 17)"
6,GradientBoostingClassifier 1,"(0, 0, 8, 1, 8, 8, 17)","(8, 4, 0, 8, 4, 5, 17)","(1, 13, 0, 1, 13, 3, 17)","(4, 8, 3, 5, 8, 4, 17)","(6, 0, 0, 17, 0, 0, 17)","(2, 12, 0, 3, 13, 1, 17)","(0, 10, 0, 0, 10, 7, 17)","(0, 13, 0, 0, 17, 0, 17)","(11, 2, 0, 15, 2, 0, 17)","(15, 0, 0, 15, 0, 2, 17)","(1, 2, 1, 8, 2, 7, 17)","(0, 10, 1, 0, 10, 7, 17)","(2, 7, 0, 5, 7, 5, 17)","(4, 3, 1, 6, 10, 1, 17)","(6, 1, 0, 11, 1, 5, 17)","(2, 4, 3, 4, 4, 9, 17)","(0, 8, 3, 0, 14, 3, 17)","(4, 8, 0, 9, 8, 0, 17)","(4, 3, 2, 11, 4, 2, 17)","(0, 14, 0, 0, 17, 0, 17)","(0, 2, 0, 0, 17, 0, 17)","(1, 9, 0, 1, 12, 4, 17)","(0, 5, 1, 5, 10, 2, 17)","(2, 4, 0, 2, 13, 2, 17)","(2, 12, 0, 4, 12, 1, 17)","(5, 0, 0, 17, 0, 0, 17)","(7, 8, 0, 8, 8, 1, 17)","(6, 6, 0, 9, 6, 2, 17)","(0, 13, 0, 0, 13, 4, 17)","(0, 15, 0, 0, 17, 0, 17)","(2, 10, 0, 7, 10, 0, 17)"
7,GradientBoostingClassifier 2,"(0, 0, 8, 1, 8, 8, 17)","(8, 4, 0, 8, 4, 5, 17)","(1, 12, 0, 1, 13, 3, 17)","(4, 8, 4, 5, 8, 4, 17)","(15, 0, 0, 17, 0, 0, 17)","(2, 7, 1, 3, 13, 1, 17)","(0, 8, 0, 0, 10, 7, 17)","(0, 10, 0, 0, 17, 0, 17)","(13, 2, 0, 15, 2, 0, 17)","(15, 0, 0, 15, 0, 2, 17)","(5, 2, 0, 8, 2, 7, 17)","(0, 10, 5, 0, 10, 7, 17)","(5, 7, 1, 5, 7, 5, 17)","(3, 6, 1, 6, 10, 1, 17)","(10, 1, 2, 11, 1, 5, 17)","(2, 4, 2, 4, 4, 9, 17)","(0, 8, 3, 0, 14, 3, 17)","(8, 8, 0, 9, 8, 0, 17)","(4, 2, 2, 11, 4, 2, 17)","(0, 17, 0, 0, 17, 0, 17)","(0, 12, 0, 0, 17, 0, 17)","(1, 10, 0, 1, 12, 4, 17)","(0, 5, 0, 5, 10, 2, 17)","(1, 7, 1, 2, 13, 2, 17)","(4, 12, 0, 4, 12, 1, 17)","(6, 0, 0, 17, 0, 0, 17)","(8, 7, 0, 8, 8, 1, 17)","(5, 4, 2, 9, 6, 2, 17)","(0, 13, 1, 0, 13, 4, 17)","(0, 17, 0, 0, 17, 0, 17)","(2, 10, 0, 7, 10, 0, 17)"
8,XGBRFClassifier 1,"(1, 0, 0, 1, 8, 8, 17)","(8, 4, 0, 8, 4, 5, 17)","(1, 7, 0, 1, 13, 3, 17)","(5, 5, 0, 5, 8, 4, 17)","(17, 0, 0, 17, 0, 0, 17)","(2, 0, 1, 3, 13, 1, 17)","(0, 6, 0, 0, 10, 7, 17)","(0, 3, 0, 0, 17, 0, 17)","(15, 0, 0, 15, 2, 0, 17)","(10, 0, 0, 15, 0, 2, 17)","(0, 2, 0, 8, 2, 7, 17)","(0, 10, 0, 0, 10, 7, 17)","(5, 7, 0, 5, 7, 5, 17)","(6, 0, 0, 6, 10, 1, 17)","(7, 0, 0, 11, 1, 5, 17)","(4, 2, 1, 4, 4, 9, 17)","(0, 0, 0, 0, 14, 3, 17)","(9, 0, 0, 9, 8, 0, 17)","(5, 0, 2, 11, 4, 2, 17)","(0, 6, 0, 0, 17, 0, 17)","(0, 0, 0, 0, 17, 0, 17)","(1, 0, 0, 1, 12, 4, 17)","(5, 0, 0, 5, 10, 2, 17)","(2, 0, 0, 2, 13, 2, 17)","(0, 12, 0, 4, 12, 1, 17)","(0, 0, 0, 17, 0, 0, 17)","(8, 7, 0, 8, 8, 1, 17)","(0, 6, 0, 9, 6, 2, 17)","(0, 13, 0, 0, 13, 4, 17)","(0, 17, 0, 0, 17, 0, 17)","(0, 10, 0, 7, 10, 0, 17)"
9,XGBRFClassifier 2,"(1, 0, 0, 1, 8, 8, 17)","(1, 4, 0, 8, 4, 5, 17)","(1, 13, 0, 1, 13, 3, 17)","(5, 5, 0, 5, 8, 4, 17)","(17, 0, 0, 17, 0, 0, 17)","(2, 1, 0, 3, 13, 1, 17)","(0, 10, 0, 0, 10, 7, 17)","(0, 10, 0, 0, 17, 0, 17)","(15, 1, 0, 15, 2, 0, 17)","(15, 0, 0, 15, 0, 2, 17)","(0, 2, 0, 8, 2, 7, 17)","(0, 10, 0, 0, 10, 7, 17)","(0, 7, 0, 5, 7, 5, 17)","(6, 10, 0, 6, 10, 1, 17)","(3, 1, 0, 11, 1, 5, 17)","(2, 4, 1, 4, 4, 9, 17)","(0, 10, 2, 0, 14, 3, 17)","(5, 8, 0, 9, 8, 0, 17)","(4, 2, 2, 11, 4, 2, 17)","(0, 13, 0, 0, 17, 0, 17)","(0, 3, 0, 0, 17, 0, 17)","(0, 10, 0, 1, 12, 4, 17)","(5, 5, 0, 5, 10, 2, 17)","(0, 10, 0, 2, 13, 2, 17)","(3, 11, 0, 4, 12, 1, 17)","(4, 0, 0, 17, 0, 0, 17)","(8, 7, 0, 8, 8, 1, 17)","(5, 4, 2, 9, 6, 2, 17)","(0, 12, 0, 0, 13, 4, 17)","(0, 17, 0, 0, 17, 0, 17)","(0, 10, 0, 7, 10, 0, 17)"
