Classifier type,<0>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,<90>,mean
DecisionTreeClassifier 1,0.9535294117647058,0.9569015725101921,0.9550173010380623,0.9828669331810395,0.9298642533936652,0.9753501400560224,0.9705882352941176,0.9708631115997801,0.9482570806100218,0.9487317862924987,0.9598930481283422,0.9841017488076311,0.9705882352941176,0.9635606454971369,0.9752321981424149,0.9764705882352941,0.9518255578093306,0.9844142785319256,0.9920239282153539,0.944142362827484,0.957843137254902,0.9567331064657267,0.9672131147540983,0.9545671927307509,0.931214421252372,0.9689411764705882,0.9827264239028944,0.9675775822139879,0.9678308823529411,0.9849521203830369,0.9402714932126697,0.9636804215555839
DecisionTreeClassifier 2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier 3,0.8058823529411765,0.8107163657542225,0.8189158016147635,0.845231296402056,0.7788461538461539,0.8515406162464986,0.8718091009988901,0.8719076415612974,0.7924836601307189,0.795466810577442,0.8160427807486631,0.8261791202967673,0.8245798319327731,0.8386257157730349,0.8250773993808049,0.8419437340153453,0.808316430020284,0.8305681246857718,0.8748753738783649,0.8255066732575383,0.828921568627451,0.8167233835683033,0.7955641272902604,0.7852702056432329,0.7912713472485768,0.8272941176470588,0.9145658263305322,0.8022232515053266,0.8033088235294118,0.9074327405380757,0.8067873303167421,0.8268992808486303
RandomForestClassifier 1,0.6188235294117647,0.6202679091438555,0.6211072664359861,0.6076527698458024,0.6057692307692307,0.6005602240896358,0.6104328523862376,0.6069268829026938,0.5969498910675382,0.5941716135995683,0.5454545454545454,0.5590885002649708,0.5840336134453782,0.568974492451848,0.5675954592363261,0.5498721227621484,0.5887423935091278,0.5580693815987934,0.5543369890329013,0.5190311418685121,0.503921568627451,0.49829849295089934,0.5014464802314368,0.5208034433285509,0.5104364326375711,0.5195294117647059,0.5107376283846872,0.5372857804539138,0.5381433823529411,0.528499772001824,0.5253393665158371,0.5603968570492478
RandomForestClassifier 2,0.6205882352941177,0.6330809551543389,0.6245674740484429,0.6150770988006853,0.6153846153846154,0.5988795518207283,0.6137624861265261,0.6118746564046179,0.5942265795206971,0.595250944414463,0.5379679144385027,0.5421303656597775,0.585609243697479,0.5830296720458095,0.5603715170278638,0.5411764705882353,0.5841784989858012,0.5399698340874811,0.5413758723828515,0.5145823035096392,0.4965686274509804,0.49829849295089934,0.5019286403085824,0.5241511238641798,0.5009487666034156,0.5110588235294118,0.503734827264239,0.5182955071792497,0.5174632352941176,0.5125398996808026,0.5095022624434389,0.5563733708374836
RandomForestClassifier 3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995178399228544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999844464491244
GradientBoostingClassifier 1,0.9211764705882353,0.9132207338380897,0.9129181084198386,0.9166190748143918,0.9191176470588235,0.9103641456582633,0.9162042175360711,0.9092908191313909,0.9106753812636166,0.9023205612520238,0.906951871657754,0.9040805511393747,0.9023109243697479,0.9000520562207184,0.9009287925696594,0.8997442455242967,0.8990872210953347,0.9019607843137255,0.9037886340977069,0.903114186851211,0.9019607843137255,0.9013125911521633,0.9103182256509161,0.907221425155428,0.9112903225806451,0.908235294117647,0.9094304388422035,0.905511811023622,0.9025735294117647,0.9046967624259006,0.8968325791855204,0.9068809739116067
GradientBoostingClassifier 2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBRFClassifier 1,0.5370588235294118,0.535818287711124,0.5426758938869666,0.5396916047972588,0.542420814479638,0.5529411764705883,0.5477247502774695,0.5497526113249038,0.5261437908496732,0.5385860766324878,0.5331550802139038,0.5320614732379438,0.5309873949579832,0.540864133263925,0.5366357069143447,0.5437340153452686,0.5289046653144016,0.5284062342885872,0.5343968095712861,0.49382105783489866,0.513235294117647,0.5036460865337871,0.5207328833172613,0.523194643711143,0.5189753320683111,0.544,0.5205415499533147,0.5150532654006484,0.515625,0.5129958960328317,0.5235294117647059,0.5299132181871522
XGBRFClassifier 2,0.86,0.8642981945253349,0.864475201845444,0.8732153055396916,0.8721719457013575,0.8627450980392157,0.8701442841287459,0.8746564046179219,0.8583877995642701,0.86184565569347,0.8475935828877005,0.8426073131955485,0.8550420168067226,0.8495575221238938,0.8555211558307534,0.8475703324808184,0.853448275862069,0.845148315736551,0.8529411764705882,0.8477508650519031,0.8406862745098039,0.8288770053475936,0.8177434908389586,0.812051649928264,0.8149905123339658,0.8291764705882353,0.8277310924369747,0.8179712830013895,0.8184742647058824,0.8221614227086184,0.8239819004524886,0.8455795423533605
